station_id,station_name,zone,division,location,source_table,section_id,source_station,dest_station,distance_km,max_speed,track_type,track_id (PK),line_type,rail_profile,sleeper_type,fastening_system,ballast_depth_mm,gauge_mm,gradient_ratio,curvature_degrees,start_km_post,end_km_post,traffic_load_gmt,geo_division,structure_id (PK),track_id (FK),structure_type,exact_km_post,installation_date
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-073,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:55:00,0.5,1105.0,1120.0,15.6,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-074,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:15:00,2.0,1120.0,1135.0,28.9,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-075,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:35:00,2.5,1135.0,1150.0,14.1,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-076,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:20:00,1.0,1150.0,1165.0,35.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-077,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:10:00,0.5,1165.0,1180.0,18.7,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-078,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:30:00,1.5,1180.0,1195.0,25.2,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-079,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:15:00,3.0,1195.0,1210.0,12.8,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-080,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:40:00,1.5,1210.0,1225.0,30.9,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-081,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:45:00,0.5,1225.0,1240.0,17.4,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-082,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:00:00,2.0,1240.0,1255.0,29.6,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-083,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:25:00,2.5,1255.0,1270.0,13.5,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-084,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:15:00,1.0,1270.0,1285.0,34.8,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-085,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:35:00,0.5,1285.0,1300.0,16.1,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-086,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:25:00,1.5,1300.0,1315.0,27.2,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-087,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:05:00,3.0,1315.0,1330.0,11.9,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-088,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:35:00,1.5,1330.0,1345.0,32.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-089,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:45:00,0.5,1345.0,1360.0,19.8,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-090,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:10:00,2.0,1360.0,1375.0,28.1,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-091,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:45:00,2.5,1375.0,1390.0,14.7,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-092,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:05:00,1.0,1390.0,1405.0,35.1,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-093,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:25:00,0.5,1405.0,1420.0,17.9,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-094,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:45:00,1.5,1420.0,1435.0,26.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-095,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:15:00,3.0,1435.0,1450.0,12.5,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-096,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:55:00,1.5,1450.0,1465.0,31.2,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-097,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:05:00,0.5,1465.0,1480.0,15.4,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-098,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:20:00,2.0,1480.0,1495.0,29.8,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-099,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:55:00,2.5,1495.0,1510.0,13.1,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-100,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:25:00,1.0,1510.0,1525.0,33.7,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-101,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:35:00,0.5,1525.0,1540.0,18.5,Palakkad,,,,,
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-001,TRK-MAIN-001,Bridge,15.5,2010-05-12
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-002,TRK-MAIN-002,Culvert,25.0,2015-08-20
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-003,TRK-MAIN-003,Tunnel,40.2,2008-11-05
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-004,TRK-MAIN-004,Bridge,102.5,2012-04-15
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-005,TRK-MAIN-005,Tunnel,115.0,2009-07-22
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-006,TRK-MAIN-008,Culvert,160.3,2016-11-10
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-007,TRK-MAIN-011,Bridge,210.8,2011-02-28
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-008,TRK-MAIN-015,Level Crossing,270.5,2018-09-05
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-009,TRK-MAIN-019,Tunnel,335.2,2005-12-14
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-010,TRK-MAIN-023,Culvert,390.6,2014-06-30
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-011,TRK-MAIN-027,Bridge,455.1,2017-03-18
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-012,TRK-MAIN-031,Level Crossing,515.9,2020-01-25
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-013,TRK-MAIN-035,Tunnel,580.4,2007-08-08
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-014,TRK-MAIN-036,Bridge,640.0,2019-05-06
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-015,TRK-MAIN-037,Culvert,685.5,2007-07-02
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-016,TRK-MAIN-038,Tunnel,731.0,2005-07-24
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-017,TRK-MAIN-039,Level Crossing,776.5,2021-08-19
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-018,TRK-MAIN-040,Bridge,822.0,2011-03-04
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-019,TRK-MAIN-041,Culvert,867.5,2010-06-30
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-020,TRK-MAIN-042,Tunnel,913.0,2010-01-03
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-021,TRK-MAIN-043,Level Crossing,958.5,2008-02-18
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-022,TRK-MAIN-044,Bridge,1004.0,2021-07-09
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-023,TRK-MAIN-045,Culvert,1049.5,2007-04-20
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-024,TRK-MAIN-046,Tunnel,1095.0,2020-03-06
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-025,TRK-MAIN-047,Level Crossing,1140.5,2021-08-12
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-026,TRK-MAIN-048,Bridge,1186.0,2017-03-26
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-027,TRK-MAIN-049,Culvert,1231.5,2006-12-14
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-028,TRK-MAIN-050,Tunnel,1277.0,2018-03-31
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-029,TRK-MAIN-051,Level Crossing,1322.5,2014-06-19
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-030,TRK-MAIN-052,Bridge,1368.0,2005-09-18
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-031,TRK-MAIN-053,Culvert,1413.5,2005-09-02
,,,,,TMS_civil_structures,,,,,,,,,,,,,,,,,,,,STR-032,TRK-MAIN-054,Tunnel,1459.0,2007-02-07
